Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
,,,,58.0,Bank account or service,2016
,,,,58.0,Checking or savings account,2017
,,,,58.0,Checking or savings account,2017
,,,,58.0,Checking or savings account,2017
,,,,58.0,Checking or savings account,2017
,,,,58.0,Checking or savings account,2017
,,,,58.0,Checking or savings account,2018
,,,,58.0,Checking or savings account,2018
,,,,58.0,Checking or savings account,2018
,,,,58.0,Checking or savings account,2019
,,,,58.0,Checking or savings account,2020
,,,,58.0,Credit card,2012
,,,,58.0,Credit card,2012
,,,,58.0,Credit card,2012
,,,,58.0,Credit card,2012
,,,,58.0,Credit card,2012
,,,,58.0,Credit card,2013
,,,,58.0,Credit card,2013
,,,,58.0,Credit card,2013
,,,,58.0,Credit card,2014
,,,,58.0,Credit card,2014
,,,,58.0,Credit card,2014
,,,,58.0,Credit card,2014
,,,,58.0,Credit card,2014
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2015
,,,,58.0,Credit card,2016
,,,,58.0,Credit card,2016
,,,,58.0,Credit card,2016
,,,,58.0,Credit card or prepaid card,2017
,,,,58.0,Credit card or prepaid card,2018
,,,,58.0,Credit card or prepaid card,2018
,,,,58.0,Credit card or prepaid card,2019
,,,,58.0,Credit card or prepaid card,2019
,,,,58.0,Credit card or prepaid card,2019
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2013
,,,,58.0,Credit reporting,2016
,,,,58.0,Credit reporting,2016
,,,,58.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,58.0,Debt collection,2013
,,,,58.0,Debt collection,2013
,,,,58.0,Debt collection,2013
,,,,58.0,Debt collection,2014
,,,,58.0,Debt collection,2014
,,,,58.0,Debt collection,2015
,,,,58.0,Debt collection,2015
,,,,58.0,Debt collection,2016
,,,,58.0,Debt collection,2016
,,,,58.0,Debt collection,2016
,,,,58.0,Debt collection,2016
,,,,58.0,Debt collection,2016
,,,,58.0,Debt collection,2017
,,,,58.0,Debt collection,2018
,,,,58.0,Debt collection,2018
,,,,58.0,"Money transfer, virtual currency, or money service",2018
,,,,58.0,Mortgage,2013
,,,,58.0,Mortgage,2014
,,,,58.0,Mortgage,2014
,,,,58.0,Mortgage,2018
,,,,58.0,Prepaid card,2015
,,,,58.0,Student loan,2016
,,,,58.0,Student loan,2017
,,,,58.0,Student loan,2017
,,,,58.0,Student loan,2017
,,,,58.0,Student loan,2017
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2012
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2013
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2014
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2015
,,,,57.0,Bank account or service,2016
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2017
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2018
,,,,57.0,Checking or savings account,2019
,,,,57.0,Checking or savings account,2019
,,,,57.0,Checking or savings account,2019
,,,,57.0,Credit card,2012
,,,,57.0,Credit card,2012
,,,,57.0,Credit card,2012
,,,,57.0,Credit card,2012
,,,,57.0,Credit card,2012
,,,,57.0,Credit card,2013
,,,,57.0,Credit card,2013
,,,,57.0,Credit card,2013
,,,,57.0,Credit card,2013
,,,,57.0,Credit card,2013
,,,,57.0,Credit card,2014
,,,,57.0,Credit card,2014
,,,,57.0,Credit card,2014
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2015
,,,,57.0,Credit card,2016
,,,,57.0,Credit card,2016
,,,,57.0,Credit card,2016
,,,,57.0,Credit card or prepaid card,2019
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2013
,,,,57.0,Credit reporting,2014
,,,,57.0,Credit reporting,2015
,,,,57.0,Credit reporting,2016
,,,,57.0,Credit reporting,2016
,,,,57.0,Credit reporting,2016
,,,,57.0,Debt collection,2013
,,,,57.0,Debt collection,2013
,,,,57.0,Debt collection,2014
,,,,57.0,Debt collection,2015
,,,,57.0,Debt collection,2016
,,,,57.0,Debt collection,2016
,,,,57.0,Debt collection,2016
,,,,57.0,Debt collection,2016
,,,,57.0,Debt collection,2016
,,,,57.0,Debt collection,2017
,,,,57.0,Debt collection,2017
,,,,57.0,Debt collection,2018
,,,,57.0,Debt collection,2018
,,,,57.0,Debt collection,2019
,,,,57.0,Debt collection,2020
,,,,57.0,Debt collection,2020
,,,,57.0,Debt collection,2020
,,,,57.0,Mortgage,2012
,,,,57.0,Mortgage,2014
,,,,57.0,Mortgage,2017
,,,,57.0,Mortgage,2018
,,,,57.0,Mortgage,2018
,,,,57.0,Student loan,2017
,,,,57.0,Student loan,2017
,,,,56.0,Bank account or service,2012
,,,,56.0,Bank account or service,2012
,,,,56.0,Bank account or service,2012
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2013
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2014
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2015
,,,,56.0,Bank account or service,2016
,,,,56.0,Bank account or service,2016
,,,,56.0,Bank account or service,2016
,,,,56.0,Bank account or service,2016
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2017
,,,,56.0,Checking or savings account,2019
,,,,56.0,Checking or savings account,2020
,,,,56.0,Checking or savings account,2020
,,,,56.0,Consumer Loan,2017
,,,,56.0,Consumer Loan,2017
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2012
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2013
,,,,56.0,Credit card,2014
,,,,56.0,Credit card,2014
,,,,56.0,Credit card,2014
,,,,56.0,Credit card,2014
,,,,56.0,Credit card,2014
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2015
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card,2016
,,,,56.0,Credit card or prepaid card,2017
,,,,56.0,Credit card or prepaid card,2017
,,,,56.0,Credit card or prepaid card,2017
,,,,56.0,Credit card or prepaid card,2017
,,,,56.0,Credit card or prepaid card,2019
,,,,56.0,Credit reporting,2013
,,,,56.0,Credit reporting,2013
,,,,56.0,Credit reporting,2013
,,,,56.0,Credit reporting,2013
,,,,56.0,Credit reporting,2013
,,,,56.0,Credit reporting,2014
,,,,56.0,Credit reporting,2015
,,,,56.0,Credit reporting,2015
,,,,56.0,Credit reporting,2015
,,,,56.0,Credit reporting,2016
,,,,56.0,Credit reporting,2016
,,,,56.0,Debt collection,2013
,,,,56.0,Debt collection,2014
,,,,56.0,Debt collection,2014
,,,,56.0,Debt collection,2014
,,,,56.0,Debt collection,2015
,,,,56.0,Debt collection,2015
,,,,56.0,Debt collection,2016
,,,,56.0,Debt collection,2016
,,,,56.0,Debt collection,2016
,,,,56.0,Debt collection,2017
,,,,56.0,Debt collection,2017
,,,,56.0,Debt collection,2017
,,,,56.0,Debt collection,2017
,,,,56.0,Debt collection,2018
,,,,56.0,Debt collection,2018
,,,,56.0,Debt collection,2019
,,,,56.0,Debt collection,2019
,,,,56.0,Debt collection,2020
,,,,56.0,Mortgage,2012
,,,,56.0,Mortgage,2015
,,,,56.0,Mortgage,2018
,,,,56.0,Mortgage,2019
,,,,56.0,Prepaid card,2015
,,,,56.0,Student loan,2017
,,,,56.0,Student loan,2017
,,,,56.0,Student loan,2017
,,,,56.0,Student loan,2017
,,,,55.0,Bank account or service,2012
,,,,55.0,Bank account or service,2012
,,,,55.0,Bank account or service,2012
,,,,55.0,Bank account or service,2012
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2013
,,,,55.0,Bank account or service,2014
,,,,55.0,Bank account or service,2014
,,,,55.0,Bank account or service,2014
,,,,55.0,Bank account or service,2014
,,,,55.0,Bank account or service,2014
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2015
,,,,55.0,Bank account or service,2016
,,,,55.0,Bank account or service,2016
,,,,55.0,Bank account or service,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2017
,,,,55.0,Checking or savings account,2018
,,,,55.0,Checking or savings account,2018
,,,,55.0,Checking or savings account,2018
,,,,55.0,Checking or savings account,2019
,,,,55.0,Checking or savings account,2019
,,,,55.0,Checking or savings account,2020
,,,,55.0,Consumer Loan,2017
,,,,55.0,Consumer Loan,2017
,,,,55.0,Credit card,2012
,,,,55.0,Credit card,2012
,,,,55.0,Credit card,2012
,,,,55.0,Credit card,2012
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2013
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2014
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2015
,,,,55.0,Credit card,2016
,,,,55.0,Credit card,2016
,,,,55.0,Credit card,2017
,,,,55.0,Credit card or prepaid card,2017
,,,,55.0,Credit card or prepaid card,2019
,,,,55.0,Credit card or prepaid card,2020
,,,,55.0,Credit reporting,2012
,,,,55.0,Credit reporting,2013
,,,,55.0,Credit reporting,2013
,,,,55.0,Credit reporting,2013
,,,,55.0,Credit reporting,2013
,,,,55.0,Credit reporting,2015
,,,,55.0,Credit reporting,2016
,,,,55.0,Credit reporting,2016
,,,,55.0,Credit reporting,2017
,,,,55.0,Debt collection,2013
,,,,55.0,Debt collection,2014
,,,,55.0,Debt collection,2014
,,,,55.0,Debt collection,2014
,,,,55.0,Debt collection,2015
,,,,55.0,Debt collection,2016
,,,,55.0,Debt collection,2017
,,,,55.0,Debt collection,2017
,,,,55.0,Debt collection,2017
,,,,55.0,Debt collection,2018
,,,,55.0,Debt collection,2019
,,,,55.0,"Money transfer, virtual currency, or money service",2018
,,,,55.0,Mortgage,2011
,,,,55.0,Mortgage,2013
,,,,55.0,Mortgage,2013
,,,,55.0,Mortgage,2016
,,,,55.0,Mortgage,2018
,,,,55.0,Prepaid card,2015
,,,,55.0,Prepaid card,2015
,,,,55.0,Student loan,2017
,,,,54.0,Bank account or service,2012
,,,,54.0,Bank account or service,2012
,,,,54.0,Bank account or service,2012
,,,,54.0,Bank account or service,2012
,,,,54.0,Bank account or service,2012
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2013
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2014
,,,,54.0,Bank account or service,2015
,,,,54.0,Bank account or service,2015
,,,,54.0,Bank account or service,2015
,,,,54.0,Checking or savings account,2017
,,,,54.0,Checking or savings account,2017
,,,,54.0,Checking or savings account,2017
,,,,54.0,Checking or savings account,2017
,,,,54.0,Checking or savings account,2017
,,,,54.0,Checking or savings account,2020
,,,,54.0,Credit card,2011
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2012
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2013
,,,,54.0,Credit card,2014
,,,,54.0,Credit card,2014
,,,,54.0,Credit card,2014
,,,,54.0,Credit card,2014
,,,,54.0,Credit card,2014
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2015
,,,,54.0,Credit card,2016
,,,,54.0,Credit card,2016
,,,,54.0,Credit card,2016
,,,,54.0,Credit card,2016
,,,,54.0,Credit card,2016
,,,,54.0,Credit card,2016
,,,,54.0,Credit card or prepaid card,2017
,,,,54.0,Credit card or prepaid card,2017
,,,,54.0,Credit card or prepaid card,2017
,,,,54.0,Credit card or prepaid card,2019
,,,,54.0,Credit reporting,2012
,,,,54.0,Credit reporting,2013
,,,,54.0,Credit reporting,2013
,,,,54.0,Credit reporting,2013
,,,,54.0,Credit reporting,2014
,,,,54.0,Credit reporting,2016
,,,,54.0,Credit reporting,2016
,,,,54.0,Credit reporting,2016
,,,,54.0,Debt collection,2013
,,,,54.0,Debt collection,2014
,,,,54.0,Debt collection,2014
,,,,54.0,Debt collection,2015
,,,,54.0,Debt collection,2015
,,,,54.0,Debt collection,2016
,,,,54.0,Debt collection,2017
,,,,54.0,Debt collection,2017
,,,,54.0,Debt collection,2018
,,,,54.0,Debt collection,2018
,,,,54.0,Debt collection,2018
,,,,54.0,Debt collection,2019
,,,,54.0,Debt collection,2019
,,,,54.0,Debt collection,2019
,,,,54.0,Debt collection,2020
,,,,54.0,Mortgage,2011
,,,,54.0,Mortgage,2012
,,,,54.0,Mortgage,2012
,,,,54.0,Mortgage,2013
,,,,54.0,Mortgage,2016
,,,,54.0,Mortgage,2019
,,,,54.0,Student loan,2017
,,,,54.0,Student loan,2017
,,,,54.0,Student loan,2017
,,,,54.0,Student loan,2017
,,,,54.0,Student loan,2017
,,,,53.0,Bank account or service,2012
,,,,53.0,Bank account or service,2012
,,,,53.0,Bank account or service,2012
,,,,53.0,Bank account or service,2012
,,,,53.0,Bank account or service,2013
,,,,53.0,Bank account or service,2013
,,,,53.0,Bank account or service,2013
,,,,53.0,Bank account or service,2013
,,,,53.0,Bank account or service,2014
,,,,53.0,Bank account or service,2014
,,,,53.0,Bank account or service,2014
,,,,53.0,Bank account or service,2014
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2015
,,,,53.0,Bank account or service,2016
,,,,53.0,Bank account or service,2016
,,,,53.0,Bank account or service,2017
,,,,53.0,Checking or savings account,2017
,,,,53.0,Checking or savings account,2017
,,,,53.0,Checking or savings account,2020
,,,,53.0,Checking or savings account,2020
,,,,53.0,Consumer Loan,2016
,,,,53.0,Consumer Loan,2016
,,,,53.0,Consumer Loan,2017
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2012
,,,,53.0,Credit card,2013
,,,,53.0,Credit card,2013
,,,,53.0,Credit card,2013
,,,,53.0,Credit card,2014
,,,,53.0,Credit card,2014
,,,,53.0,Credit card,2014
